Run_ID,Experiment_ID,Crop_Target,Prediction_Target,Variable_Group_ID,Model_Type,Seed,Eval_Split,Fold_ID,Metric_Name,Metric_Value,Metric_Status,N_Eval,Result_Origin,Eval_Row_Hash,Aggregation
RUN_036,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tabm,,validation,,R2,0.7337312335625789,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_036,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tabm,,validation,,CCC,0.8409261149083755,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_018,EXP_031,딸기,1화방 착과수,VG_Fruit_001,persistence,,validation,,RMSE,2.516611478423583,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_018,EXP_031,딸기,1화방 착과수,VG_Fruit_001,persistence,,validation,,MAE,1.7555555555555555,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_018,EXP_031,딸기,1화방 착과수,VG_Fruit_001,persistence,,validation,,R2,0.527554704192146,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_018,EXP_031,딸기,1화방 착과수,VG_Fruit_001,persistence,,validation,,CCC,0.7880620693074215,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_005,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tft,,validation,,RMSE,1.846244738685216,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_005,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tft,,validation,,MAE,1.4212396049499512,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_005,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tft,,validation,,R2,0.7457284770823049,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_005,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tft,,validation,,CCC,0.8495831400987546,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_035,EXP_010,딸기,2화방 착과수,VG_Fruit_001,poisson,,validation,,RMSE,1.4118877498812847,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_035,EXP_010,딸기,2화방 착과수,VG_Fruit_001,poisson,,validation,,MAE,1.1503892452158826,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_035,EXP_010,딸기,2화방 착과수,VG_Fruit_001,poisson,,validation,,R2,0.6180849710887228,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_035,EXP_010,딸기,2화방 착과수,VG_Fruit_001,poisson,,validation,,CCC,0.736637886288807,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_029,EXP_010,딸기,2화방 착과수,VG_Fruit_001,random_forest,,validation,,RMSE,1.435498889638722,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_029,EXP_010,딸기,2화방 착과수,VG_Fruit_001,random_forest,,validation,,MAE,1.206372795266391,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_029,EXP_010,딸기,2화방 착과수,VG_Fruit_001,random_forest,,validation,,R2,0.6052045576497664,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_029,EXP_010,딸기,2화방 착과수,VG_Fruit_001,random_forest,,validation,,CCC,0.7625518276680341,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_013,EXP_010,딸기,2화방 착과수,VG_Fruit_001,catboost,,validation,,RMSE,1.6729742075047076,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_013,EXP_010,딸기,2화방 착과수,VG_Fruit_001,catboost,,validation,,MAE,1.280171404659524,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_013,EXP_010,딸기,2화방 착과수,VG_Fruit_001,catboost,,validation,,R2,0.4637776650444064,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_013,EXP_010,딸기,2화방 착과수,VG_Fruit_001,catboost,,validation,,CCC,0.6753386467763944,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_031,EXP_010,딸기,2화방 착과수,VG_Fruit_001,mlp,,validation,,RMSE,2.079338687006443,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_031,EXP_010,딸기,2화방 착과수,VG_Fruit_001,mlp,,validation,,MAE,1.674408580901775,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_031,EXP_010,딸기,2화방 착과수,VG_Fruit_001,mlp,,validation,,R2,0.1716442784044033,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_031,EXP_010,딸기,2화방 착과수,VG_Fruit_001,mlp,,validation,,CCC,0.688316235842658,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_014,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tabm,,validation,,RMSE,1.5575015350705104,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_014,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tabm,,validation,,MAE,1.337346823672031,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_014,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tabm,,validation,,R2,0.5352457442212389,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_014,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tabm,,validation,,CCC,0.7531721571777837,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_003,EXP_010,딸기,2화방 착과수,VG_Fruit_001,persistence,,validation,,RMSE,2.2644336100817983,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_003,EXP_010,딸기,2화방 착과수,VG_Fruit_001,persistence,,validation,,MAE,1.5957446808510638,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_003,EXP_010,딸기,2화방 착과수,VG_Fruit_001,persistence,,validation,,R2,0.0176062445793582,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_003,EXP_010,딸기,2화방 착과수,VG_Fruit_001,persistence,,validation,,CCC,0.6600846262341326,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_030,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tft,,validation,,RMSE,1.6930925567838615,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_030,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tft,,validation,,MAE,1.3163448891741163,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_030,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tft,,validation,,R2,0.450803438465417,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_030,EXP_010,딸기,2화방 착과수,VG_Fruit_001,tft,,validation,,CCC,0.726815192055984,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_006,EXP_018,딸기,3화방 착과수,VG_Fruit_001,poisson,,validation,,RMSE,2.001492912306169,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_006,EXP_018,딸기,3화방 착과수,VG_Fruit_001,poisson,,validation,,MAE,1.632452089052934,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_006,EXP_018,딸기,3화방 착과수,VG_Fruit_001,poisson,,validation,,R2,0.5147754270675511,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_006,EXP_018,딸기,3화방 착과수,VG_Fruit_001,poisson,,validation,,CCC,0.7584159582412566,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_020,EXP_018,딸기,3화방 착과수,VG_Fruit_001,random_forest,,validation,,RMSE,1.8898168291883968,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
