timestamp,split,tomato_flower_truss1_n_observed,tomato_flower_truss2_n_observed,tomato_flower_truss3_n_observed,tomato_flower_total_n_observed,strawberry_fruit_truss1_n_observed,strawberry_fruit_truss2_n_observed,strawberry_fruit_truss3_n_observed,strawberry_fruit_total_n_observed
2025-05-23,validation,,,,,9.0,9.0,9.0,9.0
2025-05-24,train,,,,,18.0,18.0,18.0,18.0
2025-05-25,train,8.0,8.0,8.0,8.0,,,,
2025-05-28,test,,,,,7.0,7.0,7.0,7.0
2025-05-29,train,5.0,5.0,5.0,5.0,54.0,54.0,54.0,54.0
2025-05-29,validation,,,,,9.0,9.0,9.0,9.0
2025-05-30,train,7.0,7.0,7.0,7.0,,,,
2025-06-05,train,,,,,54.0,54.0,54.0,54.0
2025-06-05,validation,,,,,9.0,9.0,9.0,9.0
2025-06-06,train,7.0,7.0,7.0,7.0,,,,
2025-06-07,train,5.0,5.0,5.0,5.0,,,,
2025-06-13,train,7.0,7.0,7.0,7.0,,,,
2025-08-06,train,9.0,9.0,0.0,9.0,,,,
2025-08-13,train,9.0,9.0,9.0,9.0,,,,
2025-08-20,train,9.0,9.0,9.0,9.0,,,,
2025-09-03,train,9.0,9.0,9.0,9.0,,,,
2025-09-10,test,9.0,4.0,0.0,9.0,,,,
2025-09-10,train,18.0,17.0,9.0,18.0,,,,
2025-09-17,test,9.0,9.0,4.0,9.0,,,,
2025-09-17,train,18.0,18.0,17.0,18.0,,,,
2025-09-23,test,8.0,8.0,0.0,8.0,,,,
2025-09-24,train,9.0,9.0,9.0,9.0,,,,
2025-10-01,test,9.0,9.0,7.0,9.0,,,,
2025-10-01,train,18.0,18.0,18.0,18.0,,,,
2025-10-08,test,9.0,9.0,9.0,9.0,,,,
2025-10-08,train,18.0,18.0,18.0,18.0,,,,
2025-10-11,test,9.0,9.0,9.0,9.0,,,,
2025-10-15,test,18.0,18.0,18.0,18.0,,,,
2025-10-20,train,4.0,4.0,4.0,4.0,,,,
2025-10-21,test,9.0,9.0,9.0,9.0,,,,
2025-10-21,validation,4.0,4.0,0.0,4.0,,,,
2025-10-27,test,9.0,9.0,9.0,9.0,,,,
2025-10-27,train,2.0,0.0,0.0,2.0,,,,
2025-10-28,validation,7.0,7.0,0.0,7.0,,,,
2025-11-04,train,6.0,2.0,0.0,6.0,,,,
2025-11-04,validation,2.0,2.0,2.0,2.0,,,,
2025-12-15,train,,,,,1.0,1.0,1.0,1.0
2025-12-22,train,,,,,1.0,1.0,1.0,1.0
2025-12-29,train,,,,,1.0,1.0,1.0,1.0
2026-01-05,train,,,,,1.0,1.0,1.0,1.0
2026-01-12,train,,,,,1.0,1.0,1.0,1.0
2026-01-19,train,,,,,2.0,2.0,2.0,2.0
2026-01-26,train,,,,,2.0,2.0,2.0,2.0
2026-02-02,train,,,,,2.0,2.0,2.0,2.0
2026-02-10,train,,,,,1.0,1.0,1.0,1.0
2026-02-20,train,,,,,1.0,1.0,1.0,1.0
2026-02-25,train,,,,,3.0,3.0,3.0,3.0
2026-03-04,train,,,,,1.0,1.0,1.0,1.0
2026-03-05,train,,,,,3.0,3.0,3.0,3.0
2026-03-11,train,,,,,7.0,7.0,7.0,7.0
2026-03-12,train,,,,,3.0,3.0,3.0,3.0
2026-03-18,train,,,,,6.0,6.0,6.0,6.0
2026-03-19,train,,,,,6.0,6.0,6.0,6.0
2026-03-25,train,,,,,13.0,13.0,13.0,13.0
2026-03-26,train,,,,,16.0,16.0,16.0,16.0
2026-04-01,train,,,,,15.0,15.0,15.0,15.0
2026-04-02,train,,,,,17.0,17.0,17.0,17.0
2026-04-07,train,,,,,7.0,7.0,7.0,7.0
2026-04-08,test,,,,,9.0,9.0,9.0,9.0
2026-04-08,train,,,,,24.0,24.0,24.0,24.0
2026-04-09,train,,,,,26.0,26.0,26.0,26.0
2026-04-14,train,,,,,7.0,7.0,7.0,7.0
2026-04-15,test,,,,,9.0,9.0,9.0,9.0
2026-04-15,train,,,,,25.0,25.0,25.0,25.0
2026-04-16,train,,,,,27.0,27.0,27.0,27.0
2026-04-16,validation,,,,,9.0,9.0,9.0,9.0
2026-04-21,train,,,,,7.0,7.0,7.0,7.0
2026-04-22,test,,,,,9.0,9.0,9.0,9.0
2026-04-22,train,,,,,24.0,24.0,24.0,24.0
2026-04-23,train,,,,,26.0,26.0,26.0,26.0
2026-04-23,validation,,,,,9.0,9.0,9.0,9.0
2026-04-27,train,,,,,7.0,7.0,7.0,7.0
2026-04-29,test,,,,,9.0,9.0,9.0,9.0
2026-04-29,train,,,,,24.0,24.0,24.0,24.0
2026-04-30,train,,,,,26.0,26.0,26.0,26.0
2026-04-30,validation,,,,,9.0,9.0,9.0,9.0
2026-05-05,train,,,,,15.0,15.0,15.0,15.0
2026-05-06,train,,,,,16.0,16.0,16.0,16.0
2026-05-07,test,,,,,9.0,9.0,9.0,9.0
2026-05-07,train,,,,,17.0,17.0,17.0,17.0
2026-05-07,validation,,,,,9.0,9.0,9.0,9.0
2026-05-12,train,,,,,7.0,7.0,7.0,7.0
2026-05-13,train,,,,,16.0,16.0,16.0,16.0
2026-05-14,test,,,,,9.0,9.0,9.0,9.0
2026-05-14,train,,,,,22.0,22.0,22.0,22.0
2026-05-19,train,,,,,7.0,7.0,7.0,7.0
2026-05-20,test,,,,,9.0,9.0,9.0,9.0
2026-05-20,train,,,,,24.0,24.0,24.0,24.0
2026-05-21,train,,,,,14.0,14.0,14.0,14.0
2026-05-26,train,,,,,7.0,7.0,7.0,7.0
2026-05-27,test,,,,,9.0,9.0,9.0,9.0
2026-05-27,train,,,,,9.0,9.0,9.0,9.0
2026-06-02,train,,,,,9.0,9.0,9.0,9.0
2026-06-03,test,,,,,9.0,9.0,9.0,9.0
2026-08-12,train,7.0,5.0,0.0,7.0,,,,
