timestamp,split,tomato_flower_truss1,tomato_flower_truss2,tomato_flower_truss3,tomato_flower_total,strawberry_fruit_truss1,strawberry_fruit_truss2,strawberry_fruit_truss3,strawberry_fruit_total
2026-04-14,train,,,,,0,0,0,0
2026-04-15,train,,,,,0,9,26,35
2026-04-15,test,,,,,0,0,10,10
2026-04-16,train,,,,,0,0,13,13
2026-04-16,validation,,,,,0,0,0,0
2026-04-21,train,,,,,0,0,0,0
2026-04-22,train,,,,,0,6,25,31
2026-04-22,test,,,,,0,0,10,10
2026-04-23,train,,,,,0,0,6,6
2026-04-23,validation,,,,,0,0,0,0
2026-04-27,train,,,,,0,0,0,0
2026-04-29,train,,,,,0,3,27,30
2026-04-29,test,,,,,0,0,11,11
2026-04-30,train,,,,,0,0,2,2
2026-04-30,validation,,,,,0,0,0,0
2026-05-05,train,,,,,0,0,11,11
2026-05-06,train,,,,,0,2,14,16
2026-05-07,train,,,,,0,0,1,1
2026-05-07,validation,,,,,0,0,0,0
2026-05-07,test,,,,,0,0,4,4
2026-05-12,train,,,,,0,0,0,0
2026-05-13,train,,,,,0,2,11,13
2026-05-14,train,,,,,0,0,0,0
2026-05-14,test,,,,,0,0,0,0
2026-05-19,train,,,,,0,0,0,0
2026-05-20,train,,,,,0,0,4,4
2026-05-20,test,,,,,0,0,0,0
2026-05-21,train,,,,,0,0,0,0
2026-05-26,train,,,,,0,0,0,0
2026-05-27,train,,,,,0,0,0,0
2026-05-27,test,,,,,0,0,0,0
2026-06-02,train,,,,,0,0,0,0
2026-06-03,test,,,,,0,0,0,0
2026-08-12,train,10,9,,19,,,,
